Organisation Name,ch_company_number,ch_company_name,ch_sic_codes,sic_tech_score,is_active_score,company_age_score,company_type_score,name_keyword_score,role_fit_score,role_fit_bucket
Avon Data Systems Limited,02411998,AVON DATA SYSTEMS LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Axia Digital Ltd,03464607,AXIA DIGITAL LTD,62020;70229,0.5,0.1,0.12,0.08,0.05,0.85,strong
Axiom Software Solutions Limited,05950037,AXIOM SOFTWARE SOLUTIONS LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
BACKUP DATA LIMITED,07498782,BACKUP DATA LIMITED,62012;62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
BANKTECH SOFTWARE SERVICES LIMITED,05865616,BANKTECH SOFTWARE SERVICES LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
BEEP DIGITAL LTD,09570317,BEEP DIGITAL LTD,62012;62020;74100;74201,0.5,0.1,0.12,0.08,0.05,0.85,strong
BLUESTAR SOFTWARE LIMITED,03537860,BLUESTAR SOFTWARE LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
BMC Software Ltd,01927903,BMC SOFTWARE LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
BORIS SOFTWARE LIMITED,08004310,BORIS SOFTWARE LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
BRAIN BRIDGE TECHNOLOGY LIMITED,09092406,BRAIN BRIDGE TECHNOLOGY LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
BROCKLEY TECH LTD,08822433,BROCKLEY TECH LTD,46520;62020;95110,0.5,0.1,0.12,0.08,0.05,0.85,strong
BUSINESS DATA QUALITY LTD,04497196,BUSINESS DATA QUALITY LIMITED,58290;62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Balindra Software Limited,SC408875,BALINDRA SOFTWARE LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Banjo Tech Ltd,09975795,BANJO TECH LTD,62012;62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
BaseKit Platform Ltd.,06669087,BASEKIT PLATFORM LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Bellrock Technology Limited,SC426874,BELLROCK TECHNOLOGY LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Beyond Data Technologies Ltd,06410430,BEYOND DATA TECHNOLOGIES LIMITED,62012;62020;63110,0.5,0.1,0.12,0.08,0.05,0.85,strong
Big Data Lake Limited,09287186,BIG DATA LAKE LTD,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Black Cow Technology Limited,08694993,BLACK COW TECHNOLOGY LIMITED,62012;62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Black Swan Data Limited,07637003,BLACK SWAN DATA LTD,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Bliss software solutions Ltd,08588716,BLISS SOFTWARE SOLUTIONS LTD,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Bloc Digital Ltd,05576391,BLOC DIGITAL LTD,62090;71122;74100,0.5,0.1,0.12,0.08,0.05,0.85,strong
Bloompark Software Services Ltd,09131947,BLOOMPARK SOFTWARE SERVICES LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Blue Thorn Technology Ltd,04472705,BLUE THORN TECHNOLOGY LTD,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Blue Yonder Technology Solutions (UK) Limited,01870973,BLUE YONDER TECHNOLOGY SOLUTIONS (UK) LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Boomerang Digital Ltd,02993612,BOOMERANG DIGITAL LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Brain Labs Digital Ltd,07903451,BRAIN LABS DIGITAL LTD,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
BridgeHead Software Limited,02962777,BRIDGEHEAD SOFTWARE LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
BrightSign Digital Ltd,05442513,BRIGHTSIGN DIGITAL LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Brothers Bridge Technology Ltd,08091358,BROTHERS BRIDGE TECHNOLOGY LTD,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Bulletproof Cyber Ltd,05490180,BULLETPROOF CYBER LTD,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Bytes Software Services Limited,01616977,BYTES SOFTWARE SERVICES LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
CAE Technology Services Limited,02685146,CAE TECHNOLOGY SERVICES LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
CAPRICE CLOUD TECHNOLOGIES LTD,08401113,CAPRICE CLOUD TECHNOLOGIES LTD.,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
CCL Technology Solutions Ltd,SC169967,CCL TECHNOLOGY SOLUTIONS LTD,62020;62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
CDD Automation Solutions Ltd,01579088,CDD AUTOMATION SOLUTIONS LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
CHRONICLE SOFTWARE LTD,08381496,CHRONICLE SOFTWARE LTD,62012;62020;71122;74100,0.5,0.1,0.12,0.08,0.05,0.85,strong
CITATION CYBER LIMITED,08314901,CITATION CYBER LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
CLASS TECHNOLOGY SOLUTIONS LTD,05683597,CLASS TECHNOLOGY SOLUTIONS LTD,62030,0.5,0.1,0.12,0.08,0.05,0.85,strong
CLOUD ODYSSEY IT SOLUTIONS LTD,08876705,CLOUD ODYSSEY IT SOLUTIONS LTD,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
CONQUEST TECH SOLUTIONS LTD,09396339,CONQUEST TECH SOLUTIONS LTD,62020;96090,0.5,0.1,0.12,0.08,0.05,0.85,strong
CTI Digital Limited,04884651,CTI DIGITAL LIMITED,62020;63110,0.5,0.1,0.12,0.08,0.05,0.85,strong
CYBAGE SOFTWARE UK LIMITED,07175838,CYBAGE SOFTWARE (UK) LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Cadcam Technology Ltd,01901091,CADCAM TECHNOLOGY LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Caiman Software Development Limited,SC421307,CAIMAN SOFTWARE DEVELOPMENT LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Capital Computer Software Ltd,07040228,CAPITAL COMPUTER SOFTWARE LTD,62011,0.5,0.1,0.12,0.08,0.05,0.85,strong
Capital Tech Limited,06560294,TECH CAPITAL LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Capitalise.com Platform Limited,09256446,CAPITALISE.COM PLATFORM LTD,62012;62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Cara Technology Limited,02242098,CARA TECHNOLOGY LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Cast Software Limited,03460043,CAST SOFTWARE LIMITED,62012;62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Caysure Digital Limited,09801397,CAYSURE DIGITAL LIMITED,62030,0.5,0.1,0.12,0.08,0.05,0.85,strong
Centium Software Limited,08440654,CENTIUM SOFTWARE LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Central Technology Ltd,04579191,CENTRAL TECHNOLOGY LIMITED,61100;61200;62020;63110,0.5,0.1,0.12,0.08,0.05,0.85,strong
Century-Tech Limited,08482934,CENTURY-TECH LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Channel Digital Holdings Limited,06066609,CHANNEL DIGITAL LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Charterhouse Voice & Data Limited,02804354,CHARTERHOUSE VOICE & DATA LIMITED,46660;61900;62020;62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Chase Software Solutions Ltd,09862716,CHASE SOFTWARE SOLUTIONS LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Chattermill Analytics Limited,09604448,CHATTERMILL ANALYTICS LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Chi Technology Ltd,06718059,CHI TECHNOLOGY LTD,61100;62030,0.5,0.1,0.12,0.08,0.05,0.85,strong
City Tech Business Solutions Ltd,09538945,CITY TECH BUSINESS SOLUTIONS LTD,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Clarity Software Group Limited,02430509,CLARITY SOFTWARE GROUP LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Clarivate Analytics (UK) Limited,03940169,CLARIVATE ANALYTICS (UK) LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Cloud Aiops Consulting Ltd,09908497,CLOUD AIOPS CONSULTING LTD,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Cloud Consulting Group Ltd,08635694,UK CLOUD CONSULTING LIMITED,62012;62020;62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Cloud Lending UK Ltd,09881023,CLOUD LENDING UK LTD,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Cloud Made Ltd,05502069,CLOUD MADE LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Cloud Mantra Limited,07593479,CLOUD MANTRA LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Cloud Ninjas Limited,09573906,CLOUD NINJAS LTD,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Cloud SG UK Ltd,02937203,CLOUD SG UK LTD,62012;62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
CloudPay Technology Limited,04643831,CLOUDPAY TECHNOLOGY LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Coatsink Software Ltd,07567431,COATSINK SOFTWARE LTD,62011,0.5,0.1,0.12,0.08,0.05,0.85,strong
Coconut Platform Ltd,09904418,@COCONUT PLATFORM LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Codeplay Software Ltd,04567874,CODEPLAY SOFTWARE LIMITED,62011;62012;62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Codex Software Solutions Ltd,09712933,CODEX SOFTWARE SOLUTIONS LTD,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Colvir Software Solutions Ltd,04062177,COLVIR SOFTWARE SOLUTIONS LTD,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Commonplace Digital LTD,08575062,COMMONPLACE DIGITAL LTD,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Communications Software (Airline systems) Limited,01569158,COMMUNICATIONS SOFTWARE (AIRLINE SYSTEMS) LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Complete Cyber Limited,09361674,COMPLETE CYBER LIMITED,62020;62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Connect In Cloud Ltd,09550508,CONNECT IN CLOUD LTD,47910;61100;61900;62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Connect Software Solutions Limited,05162098,CONNECT SOFTWARE SOLUTIONS LTD,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Container Solutions Software Ltd,09942148,CONTAINER SOLUTIONS SOFTWARE LTD,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Coupa Software UK Ltd,04678656,COUPA SOFTWARE UK LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Craft Machine Limited,07854103,CRAFT MACHINE LTD,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Creation Technology Solutions Limited,05953173,CREATION TECHNOLOGY SOLUTIONS LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Creativity Software Ltd,04212878,CREATIVITY SOFTWARE LIMITED,62020;62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Critical Software Ltd,05256049,CRITICAL SOFTWARE LTD,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
CrystalMaker Software Ltd,04824441,CRYSTALMAKER SOFTWARE LIMITED,62012;72190,0.5,0.1,0.12,0.08,0.05,0.85,strong
Curve Digital Publishing Limited,07669603,CURVE DIGITAL PUBLISHING LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
DATA TRIALS SOLUTIONS LTD,08187237,DATA TRIALS SOLUTIONS LTD,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
DC Voltage Gradient Technology and Supply Ltd,02939265,DC VOLTAGE GRADIENT TECHNOLOGY AND SUPPLY LIMITED,27900;62012;72190;74909,0.5,0.1,0.12,0.08,0.05,0.85,strong
DELTA TECH GLOBAL LIMITED,08126547,DELTA TECH GLOBAL LIMITED,61900;62012;62020;62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
DIGITAL CLIPBOARD LIMITED,08354434,DIGITAL CLIPBOARD LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
DIGITAL RAINBOW PROJECT CONSULTANTS,09596805,DIGITAL RAINBOW PROJECT CONSULTANTS LIMITED,62012;62020;63990;70229,0.5,0.1,0.12,0.08,0.05,0.85,strong
DIGITALK Technology Limited,05653649,DIGITALK TECHNOLOGY LIMITED,61900;62012;64209,0.5,0.1,0.12,0.08,0.05,0.85,strong
DIGS Technology Limited,04655843,DIGS TECHNOLOGY LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
DOOSAN DIGITAL INNOVATION EUROPE LIMITED,08966078,DOOSAN DIGITAL INNOVATION EUROPE LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
DOUBLELIGHT TECHNOLOGY LIMITED,07857759,DOUBLELIGHT TECHNOLOGY LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
DSI Technology Services Ltd,02857022,DSI TECHNOLOGY SERVICES LTD,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
DYNAMO SOFTWARE UK. LIMITED,09742935,DYNAMO SOFTWARE UK. LIMITED,62012;63990,0.5,0.1,0.12,0.08,0.05,0.85,strong
Danger Farms Software Ltd,07757334,DANGER FARMS SOFTWARE LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Data Clarity Limited,07481466,DATA CLARITY LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Data Design Solutions Limited,07562083,DATA DESIGN SOLUTIONS LIMITED,62012;82990,0.5,0.1,0.12,0.08,0.05,0.85,strong
Data Intellect Services Limited,NI607087,DATA INTELLECT SERVICES LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
Data Intensity Limited,03659692,DATA INTENSITY LIMITED,62020;63110,0.5,0.1,0.12,0.08,0.05,0.85,strong
Data OPS Limited,09857352,DATA OPS LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Data Protection People Limited,09706626,DATA PROTECTION PEOPLE LIMITED,62012;74909,0.5,0.1,0.12,0.08,0.05,0.85,strong
Data Spartan Limited,09830499,DATA SPARTAN LIMITED,62020;72190,0.5,0.1,0.12,0.08,0.05,0.85,strong
Dayshape Software Ltd,SC446814,DAYSHAPE SOFTWARE LTD,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
